# theme: 상태와 변화 — 兆し·均衡
# unit: voca-n1-u014
兆し | きざし
兆候 | ちょうこう
予兆 | よちょう
前兆 | ぜんちょう
芽生え | めばえ
胎動 | たいどう
均衡 | きんこう
平衡 | へいこう
拮抗 | きっこう
伯仲 | はくちゅう
偏在 | へんざい
遍在 | へんざい
散在 | さんざい
点在 | てんざい
混在 | こんざい
併存 | へいぞん
硬直 | こうちょく
閉塞 | へいそく
衰退 | すいたい
衰微 | すいび
廃れる | すたれる
寂れる | さびれる
荒廃 | こうはい
荒む | すさむ
老朽化 | ろうきゅうか
摩耗 | まもう
空洞化 | くうどうか
変貌 | へんぼう
変容 | へんよう
岐路 | きろ
様相 | ようそう
趨勢 | すうせい
潮流 | ちょうりゅう
機運 | きうん
台頭 | たいとう
勃興 | ぼっこう
興隆 | こうりゅう
絶頂 | ぜっちょう
払底 | ふってい
潤沢 | じゅんたく
蔓延る | はびこる
沈静化 | ちんせいか
鎮まる | しずまる
収束 | しゅうそく
終息 | しゅうそく
収拾 | しゅうしゅう
隆起 | りゅうき
沈下 | ちんか
激変 | げきへん
豹変 | ひょうへん
一変 | いっぺん
漸進 | ぜんしん
漸増 | ぜんぞう
漸減 | ぜんげん
微増 | びぞう
増幅 | ぞうふく
減衰 | げんすい
弛緩 | しかん
逼迫 | ひっぱく
切迫 | せっぱく
瀬戸際 | せとぎわ
瓦解 | がかい
綻び | ほころび
綻びる | ほころびる
亀裂 | きれつ
歪み | ゆがみ
歪む | ゆがむ
軋む | きしむ
錯綜 | さくそう
混沌 | こんとん
混迷 | こんめい
均質 | きんしつ
画一 | かくいつ
常態 | じょうたい
安泰 | あんたい
盤石 | ばんじゃく
脆弱 | ぜいじゃく
脆い | もろい
儚い | はかない
恒久 | こうきゅう
途絶える | とだえる
潰える | ついえる
萎む | しぼむ
萎える | なえる
朽ちる | くちる
蘇る | よみがえる
再燃 | さいねん
盛り返す | もりかえす
暗転 | あんてん
過渡期 | かとき
端緒 | たんしょ
発端 | ほったん
萌す | きざす
爛熟 | らんじゅく
顕在化 | けんざいか
露呈 | ろてい
沈滞 | ちんたい
不均衡 | ふきんこう
鈍化 | どんか
風化 | ふうか
