# theme: 논설 어휘 — 주장·근거
# unit: voca-n1-u001
論拠 | ろんきょ
論旨 | ろんし
論証 | ろんしょう
論駁 | ろんばく
反駁 | はんばく
立論 | りつろん
持論 | じろん
異論 | いろん
是認 | ぜにん
是正 | ぜせい
否認 | ひにん
容認 | ようにん
黙認 | もくにん
詭弁 | きべん
屁理屈 | へりくつ
憶測 | おくそく
帰結 | きけつ
帰納 | きのう
演繹 | えんえき
所見 | しょけん
主眼 | しゅがん
骨子 | こっし
論点 | ろんてん
争点 | そうてん
核心 | かくしん
示唆 | しさ
言及 | げんきゅう
提唱 | ていしょう
提起 | ていき
唱える | となえる
説く | とく
裏付ける | うらづける
裏付け | うらづけ
立証 | りっしょう
例証 | れいしょう
傍証 | ぼうしょう
反証 | はんしょう
確証 | かくしょう
整合 | せいごう
齟齬 | そご
乖離 | かいり
相反 | そうはん
明言 | めいげん
公言 | こうげん
強弁 | きょうべん
弁明 | べんめい
釈明 | しゃくめい
論評 | ろんぴょう
糾弾 | きゅうだん
痛烈 | つうれつ
辛辣 | しんらつ
一蹴 | いっしゅう
看過 | かんか
黙殺 | もくさつ
度外視 | どがいし
重んじる | おもんじる
顧みる | かえりみる
鑑みる | かんがみる
踏まえる | ふまえる
依拠 | いきょ
準拠 | じゅんきょ
典拠 | てんきょ
援用 | えんよう
敷衍 | ふえん
換言 | かんげん
概括 | がいかつ
総括 | そうかつ
集約 | しゅうやく
帰する | きする
起因 | きいん
所以 | ゆえん
故に | ゆえに
然るに | しかるに
ひいては | ひいては
なおかつ | なおかつ
否めない | いなめない
一考 | いっこう
再考 | さいこう
熟考 | じゅっこう
精査 | せいさ
首肯 | しゅこう
疑念 | ぎねん
疑義 | ぎぎ
短絡 | たんらく
早計 | そうけい
飛躍 | ひやく
極論 | きょくろん
空論 | くうろん
つまるところ | つまるところ
自明 | じめい
歴然 | れきぜん
如実 | にょじつ
端的 | たんてき
反例 | はんれい
論調 | ろんちょう
論客 | ろんきゃく
提言 | ていげん
通説 | つうせつ
定説 | ていせつ
推察 | すいさつ
