# theme: 과학 연구
# unit: voca-n1-u006
定理 | ていり
知見 | ちけん
考察 | こうさつ
究明 | きゅうめい
探究 | たんきゅう
定量 | ていりょう
定性 | ていせい
変数 | へんすう
標本 | ひょうほん
抽出 | ちゅうしゅつ
被験者 | ひけんしゃ
対照群 | たいしょうぐん
再現性 | さいげんせい
査読 | さどく
捏造 | ねつぞう
改竄 | かいざん
盗用 | とうよう
相関 | そうかん
因果 | いんが
摂理 | せつり
素粒子 | そりゅうし
陽子 | ようし
中性子 | ちゅうせいし
核分裂 | かくぶんれつ
核融合 | かくゆうごう
触媒 | しょくばい
酸化 | さんか
還元 | かんげん
溶媒 | ようばい
溶解 | ようかい
沈殿 | ちんでん
蒸留 | じょうりゅう
濃縮 | のうしゅく
希釈 | きしゃく
飽和 | ほうわ
融解 | ゆうかい
昇華 | しょうか
気化 | きか
発酵 | はっこう
腐食 | ふしょく
浸透 | しんとう
慣性 | かんせい
質量 | しつりょう
比重 | ひじゅう
磁場 | じば
電磁波 | でんじは
半減期 | はんげんき
波長 | はちょう
振動 | しんどう
屈折 | くっせつ
真空 | しんくう
熱量 | ねつりょう
臨界 | りんかい
恒星 | こうせい
銀河 | ぎんが
地殻 | ちかく
堆積 | たいせき
地層 | ちそう
化石 | かせき
浸食 | しんしょく
淘汰 | とうた
試薬 | しやく
試料 | しりょう
検出 | けんしゅつ
閾値 | いきち
近似 | きんじ
微分 | びぶん
積分 | せきぶん
関数 | かんすう
座標 | ざひょう
模擬 | もぎ
萌芽 | ほうが
先駆者 | せんくしゃ
アルゴリズム | アルゴリズム
パラメーター | パラメーター
突然変異 | とつぜんへんい
遠心力 | えんしんりょく
偏差 | へんさ
検体 | けんたい
標準偏差 | ひょうじゅんへんさ
母集団 | ぼしゅうだん
有意差 | ゆういさ
二重盲検 | にじゅうもうけん
偽薬 | ぎやく
臨床試験 | りんしょうしけん
追試 | ついし
反証可能性 | はんしょうかのうせい
実証主義 | じっしょうしゅぎ
経験則 | けいけんそく
法則性 | ほうそくせい
演算 | えんざん
極限 | きょくげん
対数 | たいすう
塩基配列 | えんきはいれつ
核酸 | かくさん
細胞分裂 | さいぼうぶんれつ
幹細胞 | かんさいぼう
同位体 | どういたい
放射性 | ほうしゃせい
被曝 | ひばく
