# theme: 평가와 비판 — 著しい·曖昧
# unit: voca-n2-u012
著しい | いちじるしい
的確 | てきかく
不適切 | ふてきせつ
不公平 | ふこうへい
厳密 | げんみつ
綿密 | めんみつ
でたらめ | でたらめ
無謀 | むぼう
無難 | ぶなん
平凡 | へいぼん
優秀 | ゆうしゅう
見事 | みごと
抜群 | ばつぐん
独創的 | どくそうてき
平易 | へいい
難解 | なんかい
簡潔 | かんけつ
明快 | めいかい
明瞭 | めいりょう
鮮やか | あざやか
有望 | ゆうぼう
有益 | ゆうえき
有意義 | ゆういぎ
無意味 | むいみ
有力 | ゆうりょく
深刻 | しんこく
重大 | じゅうだい
肝心 | かんじん
些細 | ささい
微妙 | びみょう
絶妙 | ぜつみょう
見苦しい | みぐるしい
みっともない | みっともない
粗末 | そまつ
質素 | しっそ
素朴 | そぼく
巧み | たくみ
未熟 | みじゅく
勝る | まさる
見劣り | みおとり
申し分ない | もうしぶんない
批判 | ひはん
批評 | ひひょう
非難 | ひなん
好評 | こうひょう
不評 | ふひょう
酷評 | こくひょう
絶賛 | ぜっさん
称賛 | しょうさん
けなす | けなす
指摘 | してき
利点 | りてん
難点 | なんてん
欠陥 | けっかん
欠如 | けつじょ
不備 | ふび
矛盾 | むじゅん
一貫 | いっかん
偏る | かたよる
否定的 | ひていてき
肯定的 | こうていてき
手厳しい | てきびしい
率直 | そっちょく
乏しい | とぼしい
豊富 | ほうふ
貧弱 | ひんじゃく
疑わしい | うたがわしい
紛らわしい | まぎらわしい
ややこしい | ややこしい
煩雑 | はんざつ
見当違い | けんとうちがい
的外れ | まとはずれ
説得力 | せっとくりょく
完璧 | かんぺき
不十分 | ふじゅうぶん
中途半端 | ちゅうとはんぱ
大げさ | おおげさ
軽率 | けいそつ
浅はか | あさはか
賢明 | けんめい
非常識 | ひじょうしき
悪質 | あくしつ
格段 | かくだん
目覚ましい | めざましい
好ましい | このましい
望ましい | のぞましい
軽視 | けいし
重視 | じゅうし
ずさん | ずさん
不合理 | ふごうり
合理的 | ごうりてき
ありきたり | ありきたり
単調 | たんちょう
卓越 | たくえつ
上出来 | じょうでき
不出来 | ふでき
出来栄え | できばえ
過大評価 | かだいひょうか
批判的 | ひはんてき
不適当 | ふてきとう
