# theme: 인간관계 — 약속·오해
# unit: voca-n3-u004
待ち合わせ | まちあわせ
待ち合わせる | まちあわせる
誘う | さそう
誘い | さそい
誤解 | ごかい
勘違い | かんちがい
思い込み | おもいこみ
すれ違い | すれちがい
すれ違う | すれちがう
行き違い | いきちがい
喧嘩 | けんか
仲直り | なかなおり
仲 | なか
仲間 | なかま
仲良し | なかよし
友人 | ゆうじん
親友 | しんゆう
知り合い | しりあい
知り合う | しりあう
付き合う | つきあう
付き合い | つきあい
恋愛 | れんあい
交際 | こうさい
人間関係 | にんげんかんけい
信用 | しんよう
信頼 | しんらい
疑う | うたがう
裏切る | うらぎる
謝罪 | しゃざい
責める | せめる
文句 | もんく
悪口 | わるぐち
噂 | うわさ
秘密 | ひみつ
嘘 | うそ
ごまかす | ごまかす
隠す | かくす
打ち明ける | うちあける
相手 | あいて
味方 | みかた
敵 | てき
ライバル | ライバル
パートナー | パートナー
メッセージ | メッセージ
返信 | へんしん
既読 | きどく
無視 | むし
お詫び | おわび
お互い | おたがい
協力 | きょうりょく
助け合う | たすけあう
支える | ささえる
頼る | たよる
頼み | たのみ
気遣い | きづかい
思いやり | おもいやり
からかう | からかう
出会い | であい
出会う | であう
別れ | わかれ
再会 | さいかい
延ばす | のばす
言い訳 | いいわけ
説得 | せっとく
納得 | なっとく
共感 | きょうかん
対立 | たいりつ
距離 | きょり
絆 | きずな
縁 | えん
デート | デート
贈る | おくる
贈り物 | おくりもの
招待 | しょうたい
訪問 | ほうもん
つながり | つながり
交流 | こうりゅう
コミュニケーション | コミュニケーション
トラブル | トラブル
プライバシー | プライバシー
本音 | ほんね
建前 | たてまえ
表情 | ひょうじょう
合図 | あいず
甘える | あまえる
いじめ | いじめ
いじめる | いじめる
孤独 | こどく
気まずい | きまずい
親しい | したしい
わざと | わざと
つい | つい
決めつける | きめつける
約束事 | やくそくごと
口約束 | くちやくそく
すっぽかす | すっぽかす
仲違い | なかたがい
恨む | うらむ
気が合う | きがあう
疑い | うたがい
