# theme: 학교와 시험 — 성적·진학
# unit: voca-n3-u003
成績 | せいせき
進学 | しんがく
受験 | じゅけん
受験生 | じゅけんせい
合格 | ごうかく
不合格 | ふごうかく
点数 | てんすう
満点 | まんてん
平均 | へいきん
偏差値 | へんさち
順位 | じゅんい
採点 | さいてん
答案 | とうあん
解答 | かいとう
正解 | せいかい
出題 | しゅつだい
範囲 | はんい
暗記 | あんき
課題 | かだい
講義 | こうぎ
単位 | たんい
学期 | がっき
学年 | がくねん
学部 | がくぶ
専攻 | せんこう
科目 | かもく
参考書 | さんこうしょ
塾 | じゅく
予備校 | よびこう
家庭教師 | かていきょうし
教師 | きょうし
教授 | きょうじゅ
担任 | たんにん
同級生 | どうきゅうせい
新入生 | しんにゅうせい
後輩 | こうはい
入試 | にゅうし
推薦 | すいせん
志望 | しぼう
志望校 | しぼうこう
願書 | がんしょ
奨学金 | しょうがくきん
学費 | がくひ
授業料 | じゅぎょうりょう
進路 | しんろ
集中 | しゅうちゅう
理解 | りかい
記憶 | きおく
実力 | じつりょく
能力 | のうりょく
才能 | さいのう
基礎 | きそ
応用 | おうよう
模試 | もし
模擬試験 | もぎしけん
不正 | ふせい
カンニング | カンニング
合否 | ごうひ
倍率 | ばいりつ
定員 | ていいん
浪人 | ろうにん
中退 | ちゅうたい
退学 | たいがく
休学 | きゅうがく
転校 | てんこう
通学 | つうがく
在学 | ざいがく
卒業生 | そつぎょうせい
卒業式 | そつぎょうしき
入学式 | にゅうがくしき
学歴 | がくれき
資格 | しかく
検定 | けんてい
証明書 | しょうめいしょ
ゼミ | ゼミ
キャンパス | キャンパス
レベル | レベル
ランク | ランク
スコア | スコア
ポイント | ポイント
チャレンジ | チャレンジ
トップ | トップ
部活 | ぶかつ
行事 | ぎょうじ
文化祭 | ぶんかさい
運動会 | うんどうかい
修学旅行 | しゅうがくりょこう
時間割 | じかんわり
出欠 | しゅっけつ
欠点 | けってん
長所 | ちょうしょ
短所 | たんしょ
向上 | こうじょう
上達 | じょうたつ
伸びる | のびる
比較 | ひかく
差 | さ
解く | とく
問う | とう
暗算 | あんざん
