# theme: 성격과 태도
# unit: voca-n3-u012
不真面目 | ふまじめ
積極的 | せっきょくてき
消極的 | しょうきょくてき
活発 | かっぱつ
陽気 | ようき
陰気 | いんき
内気 | うちき
気が短い | きがみじかい
気が強い | きがつよい
気が弱い | きがよわい
気が利く | きがきく
生意気 | なまいき
頑固 | がんこ
謙虚 | けんきょ
我慢強い | がまんづよい
辛抱強い | しんぼうづよい
粘り強い | ねばりづよい
慎重 | しんちょう
大胆 | だいたん
臆病 | おくびょう
勇敢 | ゆうかん
愚か | おろか
利口 | りこう
器用 | きよう
不器用 | ぶきよう
几帳面 | きちょうめん
いい加減 | いいかげん
だらしない | だらしない
怠ける | なまける
怠け者 | なまけもの
働き者 | はたらきもの
人見知り | ひとみしり
社交的 | しゃこうてき
個性 | こせい
個性的 | こせいてき
性質 | せいしつ
人柄 | ひとがら
姿勢 | しせい
礼儀 | れいぎ
礼儀正しい | れいぎただしい
行儀 | ぎょうぎ
無礼 | ぶれい
図々しい | ずうずうしい
厚かましい | あつかましい
遠慮深い | えんりょぶかい
控えめ | ひかえめ
子供っぽい | こどもっぽい
大人っぽい | おとなっぽい
意地っ張り | いじっぱり
負けず嫌い | まけずぎらい
自分勝手 | じぶんかって
気まま | きまま
誠実 | せいじつ
穏やか | おだやか
上品 | じょうひん
下品 | げひん
派手 | はで
地味 | じみ
朗らか | ほがらか
せっかち | せっかち
神経質 | しんけいしつ
大ざっぱ | おおざっぱ
頼もしい | たのもしい
頼りない | たよりない
責任感 | せきにんかん
無責任 | むせきにん
気配り | きくばり
威張る | いばる
気取る | きどる
ふざける | ふざける
逆らう | さからう
素っ気ない | そっけない
愛想 | あいそ
無愛想 | ぶあいそう
人懐っこい | ひとなつっこい
気さく | きさく
欲張り | よくばり
見栄っ張り | みえっぱり
自慢 | じまん
恥ずかしがり屋 | はずかしがりや
照れ屋 | てれや
寂しがり屋 | さびしがりや
頑張り屋 | がんばりや
努力家 | どりょくか
弱気 | よわき
強気 | つよき
本気 | ほんき
気まぐれ | きまぐれ
無口 | むくち
おしゃべり | おしゃべり
口が悪い | くちがわるい
口が軽い | くちがかるい
口が堅い | くちがかたい
無関心 | むかんしん
無邪気 | むじゃき
反抗的 | はんこうてき
協力的 | きょうりょくてき
前向き | まえむき
楽天的 | らくてんてき
根性 | こんじょう
