# theme: 감정의 뉘앙스 — 慌てる·迷う
# unit: voca-n3-u011
慌てる | あわてる
迷い | まよい
焦る | あせる
焦り | あせり
憧れる | あこがれる
憧れ | あこがれ
恐ろしい | おそろしい
恐れる | おそれる
恐れ | おそれ
苦しむ | くるしむ
辛い | つらい
傷つく | きずつく
呆れる | あきれる
戸惑う | とまどう
ためらう | ためらう
照れる | てれる
飽きる | あきる
嘆く | なげく
悲しみ | かなしみ
怒り | いかり
驚かす | おどろかす
喜ばせる | よろこばせる
恐怖 | きょうふ
憎い | にくい
憎む | にくむ
愛情 | あいじょう
同情 | どうじょう
感情 | かんじょう
感激 | かんげき
感心 | かんしん
期待 | きたい
失望 | しつぼう
絶望 | ぜつぼう
興奮 | こうふん
夢中 | むちゅう
機嫌 | きげん
不機嫌 | ふきげん
可哀想 | かわいそう
情けない | なさけない
物足りない | ものたりない
もったいない | もったいない
面倒くさい | めんどうくさい
心細い | こころぼそい
心強い | こころづよい
虚しい | むなしい
切ない | せつない
馬鹿らしい | ばからしい
悔やむ | くやむ
後悔 | こうかい
愉快 | ゆかい
不愉快 | ふゆかい
快い | こころよい
心地よい | ここちよい
気に入る | きにいる
気が済む | きがすむ
気が重い | きがおもい
頭にくる | あたまにくる
涙ぐむ | なみだぐむ
微笑む | ほほえむ
怒鳴る | どなる
ため息 | ためいき
冷静 | れいせい
好奇心 | こうきしん
関心 | かんしん
感想 | かんそう
印象 | いんしょう
心理 | しんり
落ち着く | おちつく
苛立つ | いらだつ
むかつく | むかつく
ショック | ショック
恥 | はじ
恥じる | はじる
誇り | ほこり
誇る | ほこる
劣等感 | れっとうかん
幸福 | こうふく
不幸 | ふこう
悲観 | ひかん
楽観 | らっかん
恋しい | こいしい
待ち遠しい | まちどおしい
惜しい | おしい
まごつく | まごつく
戸惑い | とまどい
ためらい | ためらい
迷わす | まよわす
迷い込む | まよいこむ
諦め | あきらめ
気が長い | きがながい
気が小さい | きがちいさい
気を遣う | きをつかう
気が進まない | きがすすまない
胸がいっぱい | むねがいっぱい
悔しさ | くやしさ
寂しさ | さびしさ
痛ましい | いたましい
ありがたい | ありがたい
憎しみ | にくしみ
ぞっとする | ぞっとする
