# theme: 2자 한자어 명사 기본
# unit: voca-n3-u014
状態 | じょうたい
手段 | しゅだん
影響 | えいきょう
条件 | じょうけん
程度 | ていど
内容 | ないよう
価値 | かち
基本 | きほん
基準 | きじゅん
中心 | ちゅうしん
中央 | ちゅうおう
全体 | ぜんたい
部分 | ぶぶん
一部 | いちぶ
表面 | ひょうめん
内部 | ないぶ
外部 | がいぶ
周囲 | しゅうい
周辺 | しゅうへん
位置 | いち
順序 | じゅんじょ
記号 | きごう
種類 | しゅるい
分類 | ぶんるい
特徴 | とくちょう
特色 | とくしょく
機能 | きのう
役目 | やくめ
立場 | たちば
地位 | ちい
権利 | けんり
義務 | ぎむ
現実 | げんじつ
理想 | りそう
真実 | しんじつ
実際 | じっさい
現象 | げんしょう
過去 | かこ
未来 | みらい
最終 | さいしゅう
最低 | さいてい
最大 | さいだい
最新 | さいしん
割合 | わりあい
区別 | くべつ
共通 | きょうつう
一致 | いっち
対象 | たいしょう
変化 | へんか
発展 | はってん
発達 | はったつ
成長 | せいちょう
進歩 | しんぽ
増加 | ぞうか
減少 | げんしょう
完成 | かんせい
開始 | かいし
終了 | しゅうりょう
継続 | けいぞく
中止 | ちゅうし
予想 | よそう
想像 | そうぞう
知識 | ちしき
行動 | こうどう
作業 | さぎょう
材料 | ざいりょう
要点 | ようてん
話題 | わだい
表現 | ひょうげん
記録 | きろく
感覚 | かんかく
常識 | じょうしき
伝統 | でんとう
時代 | じだい
期間 | きかん
時期 | じき
瞬間 | しゅんかん
直前 | ちょくぜん
当時 | とうじ
個人 | こじん
集団 | しゅうだん
存在 | そんざい
形式 | けいしき
場面 | ばめん
方角 | ほうがく
総数 | そうすう
倍数 | ばいすう
上下 | じょうげ
最悪 | さいあく
以後 | いご
以降 | いこう
要素 | ようそ
成分 | せいぶん
形態 | けいたい
方式 | ほうしき
手順 | てじゅん
段階 | だんかい
上位 | じょうい
下位 | かい
特長 | とくちょう
