# theme: 회사 생활 — 회의·보고
# unit: voca-n3-u002
報告 | ほうこく
報告書 | ほうこくしょ
議題 | ぎだい
議論 | ぎろん
提案 | ていあん
決定 | けってい
企画 | きかく
締め切り | しめきり
期限 | きげん
延期 | えんき
進める | すすめる
進行 | しんこう
司会 | しかい
上司 | じょうし
部下 | ぶか
同僚 | どうりょう
係長 | かかりちょう
担当 | たんとう
責任 | せきにん
役割 | やくわり
業務 | ぎょうむ
異動 | いどう
昇進 | しょうしん
給与 | きゅうよ
ボーナス | ボーナス
取引 | とりひき
取引先 | とりひきさき
契約 | けいやく
交渉 | こうしょう
顧客 | こきゃく
売り上げ | うりあげ
利益 | りえき
目標 | もくひょう
成果 | せいか
結果 | けっか
評価 | ひょうか
確認 | かくにん
承認 | しょうにん
発表 | はっぴょう
プレゼン | プレゼン
ミーティング | ミーティング
プロジェクト | プロジェクト
アイデア | アイデア
ファイル | ファイル
オフィス | オフィス
リーダー | リーダー
チーム | チーム
コスト | コスト
チェック | チェック
職場 | しょくば
勤務 | きんむ
有給 | ゆうきゅう
早退 | そうたい
指示 | しじ
命令 | めいれい
依頼 | いらい
引き受ける | ひきうける
任せる | まかせる
まとめる | まとめる
話し合う | はなしあう
打ち合わせ | うちあわせ
提出 | ていしゅつ
作成 | さくせい
記入 | きにゅう
印刷 | いんさつ
判子 | はんこ
署名 | しょめい
来客 | らいきゃく
問い合わせ | といあわせ
対応 | たいおう
処理 | しょり
解決 | かいけつ
改善 | かいぜん
変更 | へんこう
修正 | しゅうせい
検討 | けんとう
判断 | はんだん
方針 | ほうしん
予算 | よさん
経費 | けいひ
費用 | ひよう
請求 | せいきゅう
支払い | しはらい
会計 | かいけい
経営 | けいえい
組織 | そしき
部署 | ぶしょ
本社 | ほんしゃ
支店 | してん
採用 | さいよう
退社 | たいしゃ
出社 | しゅっしゃ
定時 | ていじ
議事録 | ぎじろく
賛否 | さんぴ
多数決 | たすうけつ
結論 | けつろん
議長 | ぎちょう
出勤 | しゅっきん
退勤 | たいきん
