# theme: 용법 빈출 — 쓰임 구별
# unit: voca-n1-u025
一律 | いちりつ
目途 | めど
名残 | なごり
抜粋 | ばっすい
手際 | てぎわ
心当たり | こころあたり
当面 | とうめん
拍子 | ひょうし
有数 | ゆうすう
重宝 | ちょうほう
内訳 | うちわけ
生い立ち | おいたち
合致 | がっち
仕業 | しわざ
一環 | いっかん
念願 | ねんがん
発散 | はっさん
心構え | こころがまえ
抱負 | ほうふ
兼用 | けんよう
併用 | へいよう
転用 | てんよう
流用 | りゅうよう
逸材 | いつざい
網羅 | もうら
踏襲 | とうしゅう
見地 | けんち
細心 | さいしん
円滑 | えんかつ
着目 | ちゃくもく
配属 | はいぞく
一新 | いっしん
改修 | かいしゅう
加味 | かみ
駆使 | くし
屈指 | くっし
結束 | けっそく
厳正 | げんせい
心得 | こころえ
誤算 | ごさん
根気 | こんき
雑踏 | ざっとう
筋合い | すじあい
始末 | しまつ
遮断 | しゃだん
熟知 | じゅくち
樹立 | じゅりつ
遵守 | じゅんしゅ
照合 | しょうごう
処置 | しょち
据え置く | すえおく
率先 | そっせん
脱帽 | だつぼう
着工 | ちゃっこう
中和 | ちゅうわ
重複 | ちょうふく
追放 | ついほう
手探り | てさぐり
転じる | てんじる
統括 | とうかつ
同調 | どうちょう
破損 | はそん
半端 | はんぱ
赴任 | ふにん
紛失 | ふんしつ
便乗 | びんじょう
没頭 | ぼっとう
本場 | ほんば
余地 | よち
連携 | れんけい
何気ない | なにげない
ひたむき | ひたむき
興じる | きょうじる
充当 | じゅうとう
取り柄 | とりえ
脚光 | きゃっこう
回顧 | かいこ
圧巻 | あっかん
一掃 | いっそう
思惑 | おもわく
甲斐 | かい
講じる | こうじる
心掛ける | こころがける
根絶 | こんぜつ
細工 | さいく
指図 | さしず
自粛 | じしゅく
失墜 | しっつい
収容 | しゅうよう
順応 | じゅんのう
消耗 | しょうもう
据え付ける | すえつける
折衷 | せっちゅう
措置 | そち
台無し | だいなし
立て替える | たてかえる
堪能 | たんのう
調達 | ちょうたつ
通用 | つうよう
難色 | なんしょく
