# theme: する동사 한자어
# unit: voca-n2-u014
維持 | いじ
確保 | かくほ
考慮 | こうりょ
配慮 | はいりょ
把握 | はあく
認識 | にんしき
決断 | けつだん
選択 | せんたく
実現 | じつげん
完了 | かんりょう
中断 | ちゅうだん
延長 | えんちょう
拡張 | かくちょう
省略 | しょうりゃく
追加 | ついか
補足 | ほそく
補充 | ほじゅう
訂正 | ていせい
転換 | てんかん
移行 | いこう
移転 | いてん
整理 | せいり
整備 | せいび
確立 | かくりつ
設定 | せってい
設置 | せっち
構成 | こうせい
構築 | こうちく
形成 | けいせい
創造 | そうぞう
発揮 | はっき
展開 | てんかい
進展 | しんてん
対処 | たいしょ
回避 | かいひ
阻止 | そし
制限 | せいげん
管理 | かんり
監督 | かんとく
提供 | ていきょう
要請 | ようせい
依存 | いぞん
否定 | ひてい
肯定 | こうてい
強調 | きょうちょう
断言 | だんげん
反論 | はんろん
反発 | はんぱつ
抵抗 | ていこう
反映 | はんえい
対比 | たいひ
共有 | きょうゆう
貢献 | こうけん
参照 | さんしょう
観察 | かんさつ
推測 | すいそく
予測 | よそく
想定 | そうてい
仮定 | かてい
解明 | かいめい
保存 | ほぞん
保管 | ほかん
確信 | かくしん
獲得 | かくとく
活用 | かつよう
着手 | ちゃくしゅ
優先 | ゆうせん
専念 | せんねん
徹底 | てってい
統一 | とういつ
配布 | はいふ
回収 | かいしゅう
再開 | さいかい
消滅 | しょうめつ
拒絶 | きょぜつ
辞退 | じたい
撤退 | てったい
設立 | せつりつ
創立 | そうりつ
運営 | うんえい
運用 | うんよう
判定 | はんてい
登録 | とうろく
援助 | えんじょ
克服 | こくふく
軽減 | けいげん
適応 | てきおう
進出 | しんしゅつ
出荷 | しゅっか
支給 | しきゅう
徴収 | ちょうしゅう
解雇 | かいこ
待機 | たいき
休止 | きゅうし
所属 | しょぞく
加入 | かにゅう
参入 | さんにゅう
介入 | かいにゅう
妨害 | ぼうがい
修復 | しゅうふく
