# theme: 접두·접미 복합어 — 〜的·〜性
# unit: voca-n1-u020
画一的 | かくいつてき
恣意的 | しいてき
抜本的 | ばっぽんてき
包括的 | ほうかつてき
網羅的 | もうらてき
恒常的 | こうじょうてき
慢性的 | まんせいてき
閉鎖的 | へいさてき
排他的 | はいたてき
断続的 | だんぞくてき
暫定的 | ざんていてき
実質的 | じっしつてき
流動的 | りゅうどうてき
相対的 | そうたいてき
普遍的 | ふへんてき
必然的 | ひつぜんてき
本質的 | ほんしつてき
根源的 | こんげんてき
懐疑的 | かいぎてき
献身的 | けんしんてき
驚異的 | きょういてき
壊滅的 | かいめつてき
意図的 | いとてき
作為的 | さくいてき
形式的 | けいしきてき
付随的 | ふずいてき
副次的 | ふくじてき
派生的 | はせいてき
対照的 | たいしょうてき
補完的 | ほかんてき
模範的 | もはんてき
屈辱的 | くつじょくてき
刹那的 | せつなてき
享楽的 | きょうらくてき
退廃的 | たいはいてき
牧歌的 | ぼっかてき
叙情的 | じょじょうてき
官僚的 | かんりょうてき
独善的 | どくぜんてき
高圧的 | こうあつてき
威圧的 | いあつてき
衝動的 | しょうどうてき
感傷的 | かんしょうてき
局所的 | きょくしょてき
散発的 | さんぱつてき
漸進的 | ぜんしんてき
急進的 | きゅうしんてき
先駆的 | せんくてき
汎用性 | はんようせい
妥当性 | だとうせい
信憑性 | しんぴょうせい
透明性 | とうめいせい
利便性 | りべんせい
必然性 | ひつぜんせい
蓋然性 | がいぜんせい
整合性 | せいごうせい
優位性 | ゆういせい
独自性 | どくじせい
主体性 | しゅたいせい
柔軟性 | じゅうなんせい
耐久性 | たいきゅうせい
持続性 | じぞくせい
即効性 | そっこうせい
依存性 | いぞんせい
普遍性 | ふへんせい
多様性 | たようせい
公共性 | こうきょうせい
実効性 | じっこうせい
採算性 | さいさんせい
緊急性 | きんきゅうせい
脆弱性 | ぜいじゃくせい
可塑性 | かそせい
両義性 | りょうぎせい
硬直化 | こうちょくか
陳腐化 | ちんぷか
常態化 | じょうたいか
二極化 | にきょくか
細分化 | さいぶんか
可視化 | かしか
閉塞感 | へいそくかん
臨場感 | りんじょうかん
躍動感 | やくどうかん
焦燥感 | しょうそうかん
不可解 | ふかかい
不条理 | ふじょうり
不本意 | ふほんい
不始末 | ふしまつ
不行き届き | ふゆきとどき
無尽蔵 | むじんぞう
無作為 | むさくい
無防備 | むぼうび
未曾有 | みぞう
未知数 | みちすう
過小評価 | かしょうひょうか
反社会的 | はんしゃかいてき
諸般 | しょはん
真骨頂 | しんこっちょう
生返事 | なまへんじ
事なかれ主義 | ことなかれしゅぎ
死生観 | しせいかん
