# theme: 감정과 성격 — 기쁘다·곤란하다
# unit: voca-n4-u005
嬉しい | うれしい
喜ぶ | よろこぶ
喜び | よろこび
悲しい | かなしい
寂しい | さびしい
恥ずかしい | はずかしい
怖い | こわい
困る | こまる
驚く | おどろく
怒る | おこる
笑顔 | えがお
涙 | なみだ
心配 | しんぱい
安心 | あんしん
残念 | ざんねん
不安 | ふあん
緊張 | きんちょう
感動 | かんどう
感謝 | かんしゃ
感じる | かんじる
気持ち | きもち
心 | こころ
気がつく | きがつく
気にする | きにする
気になる | きになる
懐かしい | なつかしい
羨ましい | うらやましい
悔しい | くやしい
嫌 | いや
苦手 | にがて
得意 | とくい
厳しい | きびしい
素直 | すなお
正直 | しょうじき
我慢 | がまん
一生懸命 | いっしょうけんめい
大人しい | おとなしい
賢い | かしこい
偉い | えらい
失礼 | しつれい
乱暴 | らんぼう
意地悪 | いじわる
わがまま | わがまま
けち | けち
短気 | たんき
のんき | のんき
性格 | せいかく
態度 | たいど
興味 | きょうみ
夢 | ゆめ
希望 | きぼう
自信 | じしん
勇気 | ゆうき
退屈 | たいくつ
腹が立つ | はらがたつ
悲しむ | かなしむ
慰める | なぐさめる
励ます | はげます
褒める | ほめる
叱る | しかる
許す | ゆるす
信じる | しんじる
恋人 | こいびと
思い出 | おもいで
思い出す | おもいだす
考え | かんがえ
満足 | まんぞく
不満 | ふまん
幸せ | しあわせ
ほっとする | ほっとする
びっくりする | びっくりする
がっかりする | がっかりする
いらいらする | いらいらする
どきどき | どきどき
わくわく | わくわく
にこにこ | にこにこ
笑い | わらい
平気 | へいき
素敵 | すてき
立派 | りっぱ
最高 | さいこう
迷惑 | めいわく
面倒 | めんどう
苦労 | くろう
かわいそう | かわいそう
素晴らしい | すばらしい
怖がる | こわがる
嫌がる | いやがる
欲しがる | ほしがる
驚き | おどろき
真剣 | しんけん
冗談 | じょうだん
気の毒 | きのどく
気楽 | きらく
頑張る | がんばる
諦める | あきらめる
悩む | なやむ
悩み | なやみ
叫ぶ | さけぶ
嫌う | きらう
