# theme: 비즈니스 교섭
# unit: voca-n2-u002
商談 | しょうだん
提示 | ていじ
合意 | ごうい
妥協 | だきょう
譲歩 | じょうほ
折り合い | おりあい
歩み寄る | あゆみよる
承諾 | しょうだく
了承 | りょうしょう
拒否 | きょひ
拒む | こばむ
却下 | きゃっか
保留 | ほりゅう
見積もり | みつもり
納品 | のうひん
納期 | のうき
発注 | はっちゅう
受注 | じゅちゅう
単価 | たんか
提携 | ていけい
協議 | きょうぎ
企画書 | きかくしょ
立案 | りつあん
戦略 | せんりゃく
達成 | たっせい
実績 | じっせき
誠意 | せいい
要求 | ようきゅう
要望 | ようぼう
主張 | しゅちょう
当方 | とうほう
双方 | そうほう
両者 | りょうしゃ
担当者 | たんとうしゃ
責任者 | せきにんしゃ
決裁 | けっさい
権限 | けんげん
取締役 | とりしまりやく
役員 | やくいん
得意先 | とくいさき
業者 | ぎょうしゃ
下請け | したうけ
委託 | いたく
取り下げる | とりさげる
持ち帰る | もちかえる
詰める | つめる
煮詰まる | につまる
押し切る | おしきる
食い違う | くいちがう
行き詰まる | いきづまる
決裂 | けつれつ
成立 | せいりつ
締結 | ていけつ
調印 | ちょういん
合併 | がっぺい
買収 | ばいしゅう
競合 | きょうごう
優位 | ゆうい
有利 | ゆうり
不利 | ふり
妥当 | だとう
駆け引き | かけひき
根回し | ねまわし
段取り | だんどり
手配 | てはい
前払い | まえばらい
後払い | あとばらい
分割 | ぶんかつ
短縮 | たんしゅく
調整 | ちょうせい
照会 | しょうかい
返答 | へんとう
即答 | そくとう
念押し | ねんおし
利害 | りがい
損得 | そんとく
見返り | みかえり
代償 | だいしょう
報酬 | ほうしゅう
上限 | じょうげん
下限 | かげん
最低限 | さいていげん
折衝 | せっしょう
面談 | めんだん
接待 | せったい
導入 | どうにゅう
販路 | はんろ
売り込む | うりこむ
持ちかける | もちかける
申し入れ | もうしいれ
取り決め | とりきめ
納入 | のうにゅう
仕入れ | しいれ
卸す | おろす
問屋 | とんや
打診 | だしん
条件付き | じょうけんつき
一任 | いちにん
請け負う | うけおう
値切る | ねぎる
