# theme: 헷갈리는 동음이의 한자어
# unit: voca-n1-u024
意志 | いし
意思 | いし
遺志 | いし
異同 | いどう
意義 | いぎ
威儀 | いぎ
解放 | かいほう
開放 | かいほう
介抱 | かいほう
改定 | かいてい
改訂 | かいてい
過程 | かてい
課程 | かてい
歓心 | かんしん
観賞 | かんしょう
緩衝 | かんしょう
気運 | きうん
既定 | きてい
規程 | きてい
機構 | きこう
起工 | きこう
決済 | けっさい
厚生 | こうせい
更正 | こうせい
修整 | しゅうせい
習性 | しゅうせい
所用 | しょよう
所要 | しょよう
精算 | せいさん
清算 | せいさん
成算 | せいさん
対照 | たいしょう
対称 | たいしょう
追求 | ついきゅう
追究 | ついきゅう
適正 | てきせい
適性 | てきせい
保障 | ほしょう
捕捉 | ほそく
野性 | やせい
用件 | ようけん
要件 | ようけん
不変 | ふへん
不偏 | ふへん
深長 | しんちょう
伸長 | しんちょう
新調 | しんちょう
精製 | せいせい
生成 | せいせい
体勢 | たいせい
態勢 | たいせい
表決 | ひょうけつ
評決 | ひょうけつ
並行 | へいこう
閉口 | へいこう
自任 | じにん
自認 | じにん
指向 | しこう
志向 | しこう
嗜好 | しこう
進入 | しんにゅう
侵入 | しんにゅう
浸入 | しんにゅう
選考 | せんこう
先行 | せんこう
潜行 | せんこう
転嫁 | てんか
添加 | てんか
同士 | どうし
同志 | どうし
腐心 | ふしん
無情 | むじょう
有志 | ゆうし
甘言 | かんげん
喚起 | かんき
驚異 | きょうい
脅威 | きょうい
原型 | げんけい
原形 | げんけい
実体 | じったい
実態 | じったい
既成 | きせい
既製 | きせい
所期 | しょき
精彩 | せいさい
生彩 | せいさい
耐性 | たいせい
至高 | しこう
閃光 | せんこう
転化 | てんか
普請 | ふしん
無上 | むじょう
狂喜 | きょうき
移譲 | いじょう
委譲 | いじょう
荷重 | かじゅう
過重 | かじゅう
仮設 | かせつ
架設 | かせつ
糾明 | きゅうめい
