# theme: 문학·예술 비평
# unit: voca-n1-u009
賛辞 | さんじ
寸評 | すんぴょう
書評 | しょひょう
作風 | さくふう
画風 | がふう
文体 | ぶんたい
筆致 | ひっち
筆力 | ひつりょく
文才 | ぶんさい
叙情 | じょじょう
叙事 | じょじ
叙述 | じょじゅつ
描写 | びょうしゃ
写実 | しゃじつ
自然主義 | しぜんしゅぎ
耽美 | たんび
退廃 | たいはい
前衛 | ぜんえい
典雅 | てんが
優美 | ゆうび
幽玄 | ゆうげん
侘び寂び | わびさび
風情 | ふぜい
情緒 | じょうちょ
余韻 | よいん
余白 | よはく
趣 | おもむき
趣向 | しゅこう
意匠 | いしょう
構図 | こうず
筋書き | すじがき
伏線 | ふくせん
結末 | けつまつ
冒頭 | ぼうとう
序章 | じょしょう
脇役 | わきやく
語り手 | かたりて
独白 | どくはく
比喩 | ひゆ
隠喩 | いんゆ
直喩 | ちょくゆ
擬人法 | ぎじんほう
象徴 | しょうちょう
寓意 | ぐうい
寓話 | ぐうわ
風刺 | ふうし
諧謔 | かいぎゃく
滑稽 | こっけい
戯曲 | ぎきょく
韻文 | いんぶん
散文 | さんぶん
詩歌 | しいか
和歌 | わか
短歌 | たんか
随筆 | ずいひつ
紀行 | きこう
長編 | ちょうへん
短編 | たんぺん
傑作 | けっさく
秀作 | しゅうさく
駄作 | ださく
遺作 | いさく
処女作 | しょじょさく
力作 | りきさく
翻案 | ほんあん
脚色 | きゃくしょく
脚本 | きゃくほん
盗作 | とうさく
模倣 | もほう
独創性 | どくそうせい
虚構 | きょこう
情景 | じょうけい
心象 | しんしょう
造形 | ぞうけい
工芸 | こうげい
版画 | はんが
水墨画 | すいぼくが
油彩 | ゆさい
素描 | そびょう
陰影 | いんえい
濃淡 | のうたん
遠近法 | えんきんほう
旋律 | せんりつ
韻律 | いんりつ
音色 | ねいろ
審美眼 | しんびがん
美学 | びがく
感受性 | かんじゅせい
陳腐 | ちんぷ
斬新 | ざんしん
秀逸 | しゅういつ
洗練 | せんれん
円熟 | えんじゅく
巨匠 | きょしょう
鬼才 | きさい
文豪 | ぶんごう
大家 | たいか
真髄 | しんずい
醍醐味 | だいごみ
著作 | ちょさく
