# theme: 철학과 사상
# unit: voca-n1-u008
形而上学 | けいじじょうがく
存在論 | そんざいろん
認識論 | にんしきろん
実存 | じつぞん
実存主義 | じつぞんしゅぎ
実在 | じつざい
概念 | がいねん
観念 | かんねん
理念 | りねん
思惟 | しい
思索 | しさく
瞑想 | めいそう
省察 | せいさつ
内省 | ないせい
自我 | じが
主体 | しゅたい
客体 | きゃくたい
主観 | しゅかん
客観 | きゃっかん
普遍 | ふへん
個別 | こべつ
相対 | そうたい
相対主義 | そうたいしゅぎ
唯物論 | ゆいぶつろん
唯心論 | ゆいしんろん
観念論 | かんねんろん
経験論 | けいけんろん
合理主義 | ごうりしゅぎ
理性 | りせい
悟性 | ごせい
直観 | ちょっかん
弁証法 | べんしょうほう
止揚 | しよう
二元論 | にげんろん
一元論 | いちげんろん
虚無 | きょむ
厭世 | えんせい
無常 | むじょう
輪廻 | りんね
解脱 | げだつ
悟り | さとり
悟る | さとる
煩悩 | ぼんのう
因縁 | いんねん
業 | ごう
禅 | ぜん
儒教 | じゅきょう
道教 | どうきょう
老荘 | ろうそう
仁 | じん
倫理 | りんり
規範 | きはん
善悪 | ぜんあく
功利主義 | こうりしゅぎ
美徳 | びとく
悪徳 | あくとく
良心 | りょうしん
自律 | じりつ
他律 | たりつ
自由意志 | じゆういし
宿命 | しゅくめい
決定論 | けっていろん
目的論 | もくてきろん
懐疑 | かいぎ
懐疑論 | かいぎろん
真理 | しんり
命題 | めいだい
逆説 | ぎゃくせつ
超越 | ちょうえつ
内在 | ないざい
啓蒙 | けいもう
啓示 | けいじ
信仰 | しんこう
神学 | しんがく
教義 | きょうぎ
異端 | いたん
信条 | しんじょう
思想家 | しそうか
哲人 | てつじん
賢者 | けんじゃ
聖人 | せいじん
先哲 | せんてつ
学派 | がくは
流派 | りゅうは
門下 | もんか
師事 | しじ
系譜 | けいふ
思潮 | しちょう
人文主義 | じんぶんしゅぎ
現象学 | げんしょうがく
構造主義 | こうぞうしゅぎ
脱構築 | だつこうちく
慈悲 | じひ
無我 | むが
無為 | むい
空虚 | くうきょ
享楽 | きょうらく
快楽 | かいらく
禁欲 | きんよく
克己 | こっき
