# theme: 심리와 감정 표현
# unit: voca-n2-u011
憂鬱 | ゆううつ
恨み | うらみ
憎らしい | にくらしい
妬む | ねたむ
嫉妬 | しっと
惨め | みじめ
哀れ | あわれ
心情 | しんじょう
心境 | しんきょう
本心 | ほんしん
意欲 | いよく
意気込み | いきごみ
動揺 | どうよう
不平 | ふへい
愚痴 | ぐち
安らぐ | やすらぐ
和む | なごむ
癒す | いやす
癒し | いやし
怯える | おびえる
不気味 | ぶきみ
爽やか | さわやか
冷淡 | れいたん
薄情 | はくじょう
辛抱 | しんぼう
忍耐 | にんたい
耐える | たえる
堪える | こらえる
自尊心 | じそんしん
優越感 | ゆうえつかん
罪悪感 | ざいあくかん
違和感 | いわかん
達成感 | たっせいかん
照れくさい | てれくさい
後ろめたい | うしろめたい
未練 | みれん
執着 | しゅうちゃく
愛着 | あいちゃく
欲望 | よくぼう
欲求 | よっきゅう
意地 | いじ
情熱 | じょうねつ
熱意 | ねつい
敏感 | びんかん
鈍感 | どんかん
繊細 | せんさい
嫌気 | いやけ
落胆 | らくたん
嫌悪 | けんお
軽蔑 | けいべつ
敬意 | けいい
覚悟 | かくご
決意 | けつい
和らぐ | やわらぐ
浮かれる | うかれる
もどかしい | もどかしい
煩わしい | わずらわしい
快感 | かいかん
緊張感 | きんちょうかん
慰め | なぐさめ
励み | はげみ
気兼ね | きがね
心残り | こころのこり
反感 | はんかん
好感 | こうかん
好意 | こうい
敵意 | てきい
悪意 | あくい
善意 | ぜんい
懐かしむ | なつかしむ
惜しむ | おしむ
苦悩 | くのう
苦痛 | くつう
気苦労 | きぐろう
激怒 | げきど
感情的 | かんじょうてき
悔い | くい
羨む | うらやむ
動転 | どうてん
平静 | へいせい
嘆き | なげき
悲嘆 | ひたん
向上心 | こうじょうしん
警戒心 | けいかいしん
満足感 | まんぞくかん
安心感 | あんしんかん
孤独感 | こどくかん
一体感 | いったいかん
充実感 | じゅうじつかん
やりがい | やりがい
気遣う | きづかう
痛感 | つうかん
心配性 | しんぱいしょう
いとおしい | いとおしい
喜ばしい | よろこばしい
ばかばかしい | ばかばかしい
プレッシャー | プレッシャー
自己嫌悪 | じこけんお
不信感 | ふしんかん
危機感 | ききかん
